"구명","유형","설치주소","지역명","상세설치장소","설치기관(회사)","설치위치(X좌표)","설치위치(Y좌표)","콘텐츠아이디"
"강남구","복지센터등","아동복지센터","강남구 광평로34길 124","아동복지센터 1F","서울시(시스코)","127.088505","37.479804","WF120001"
"강남구","복지센터등","아동복지센터","강남구 광평로34길 124","아동복지센터 1F","서울시(시스코)","127.088505","37.479804","WF120002"
"강남구","복지센터등","아동복지센터","강남구 광평로34길 124","아동복지센터 1F","서울시(시스코)","127.088505","37.479804","WF120003"
"강남구","복지센터등","아동복지센터","강남구 광평로34길 124","아동복지센터 1F","서울시(시스코)","127.088505","37.479804","WF120004"
"강남구","복지센터등","아동복지센터","강남구 광평로34길 124","아동복지센터 2F","서울시(시스코)","127.088505","37.479804","WF120005"
"강남구","주요거리","강남역 지하상가","서울특별시 강남구 테헤란로 101","강남역 지하상가 F-5 다이어리 앞 천정매립","미래부(LGU+)","127.0280696","37.4986144","WF121044"
"강남구","공공기관","강남운전면허시험장(대치)","서울특별시 강남구 테헤란로114길 23","1층 화장실 앞 기둥위","미래부(KT)","127.0672394","37.5084197","WF121045"
"강남구","복지센터등","강남종합고용지원센터","서울특별시 강남구 테헤란로 410","금강타워 8층안내데스크앞","미래부(KT)","127.0507291","37.504556","WF121046"
"강남구","문화관광","개포도서관","서울특별시 강남구 선릉로4길 30","1층 자판기 위","미래부(KT)","127.063769","37.4829604","WF121047"
"강남구","복지센터등","군인공제회관","서울특별시 강남구 남부순환로 2806","도곡동 467-12 한국 IBM","미래부(KT)","127.0528667","37.4890937","WF121048"
"강남구","공공기관","군인공제회관","서울특별시 강남구 남부순환로 2806","1층 계단앞 천정매립","미래부(KT)","127.0528667","37.4890937","WF121049"
"강남구","공공기관","군인공제회관","서울특별시 강남구 남부순환로 2806","도곡동 467-12 삼성엔지니어링","미래부(KT)","127.0528667","37.4890937","WF121050"
"강남구","공공기관","군인공제회관","서울특별시 강남구 남부순환로 2806","도곡동 467-12 유비쿼스","미래부(KT)","127.0528667","37.4890937","WF121051"
"강남구","공공기관","군인공제회관","서울특별시 강남구 남부순환로 2806","26층 중앙 복도 천정매립","미래부(KT)","127.0528667","37.4890937","WF121052"
"강남구","공공기관","군인공제회관","서울특별시 강남구 남부순환로 2806","도곡동 467-12 한국컴퓨웨어","미래부(KT)","127.0528667","37.4890937","WF121053"
"강남구","공공기관","군인공제회관","서울특별시 강남구 남부순환로 2806","도곡동 467-12 SAP Korea","미래부(KT)","127.0528667","37.4890937","WF121054"
"강남구","공공기관","군인공제회관","서울특별시 강남구 남부순환로 2806","2층 계단앞 천정매립","미래부(KT)","127.0528667","37.4890937","WF121055"
"강남구","공공기관","군인공제회관","서울특별시 강남구 남부순환로 2806","3층 계단앞 천정매립","미래부(KT)","127.0528667","37.4890937","WF121056"
"강남구","공공기관","군인공제회관","서울특별시 강남구 남부순환로 2806","4층 신부대기실1  앞","미래부(KT)","127.0528667","37.4890937","WF121057"
"강남구","공공기관","군인공제회관","서울특별시 강남구 남부순환로 2806","지하1층 천정매립","미래부(KT)","127.0528667","37.4890937","WF121058"
"강남구","문화관광","역삼동 문화센터","서울특별시 강남구 선릉로69길 19","역삼동 757","미래부(KT)","127.0500818","37.4975477","WF121059"
"강남구","문화관광","코엑스전시장(몰)","서울특별시 강남구 영동대로 513","삼성1동 159","미래부(LGU+)","127.0587979","37.5124637","WF121060"
"강남구","전통시장","강남시장","서울특별시 강남구 압구정로2길 46","신사동 510-11(1층 좌측출입구 간판벽면)","SKT","127.020569","37.518774","WF131003"
"강남구","주요거리","대치동 거리","서울특별시 강남구 선릉로86길 26","대치동 896 -34 세원빌딩 옥상","LGU+","127.051855","37.503561","WF131004"
"강남구","주요거리","대치동 거리","서울특별시 강남구 선릉로86길 10","대치동 897 -13 남곡빌딩 옥상","LGU+","127.050684","37.503111","WF131005"
"강남구","전통시장","영동전통시장","서울특별시 강남구 강남대로124길 13","논현동 140(옥상설치-시장좌측방향)","SKT","127.023881","37.509119","WF131006"
"강남구","전통시장","영동전통시장","서울특별시 강남구 강남대로124길 13","논현동 140(옥상설치-시장우측방향)","SKT","127.023881","37.509119","WF131007"
"강남구","전통시장","청담삼익시장","서울특별시 강남구 학동로101길 26","청담동 134-20(1F 우측공원출입구_D)-1층 125호앞 복도 기둥벽면","SKT","127.057737","37.522519","WF131008"
"강남구","전통시장","청담삼익시장","서울특별시 강남구 학동로101길 26","청담동 134-20(1F 35호 복도_D)-1층 109호앞 복도 기둥벽면","SKT","127.057737","37.522519","WF131009"
"강남구","전통시장","청담삼익시장","서울특별시 강남구 학동로101길 26","청담동 134-20(1F 좌측주차장출입구_D)-1층 141호앞 복도 기둥벽면","SKT","127.057737","37.522519","WF131010"
"강남구","전통시장","청담삼익시장","서울특별시 강남구 학동로101길 26","청담동 134-20(1F 주차장출입구_D)-1층 좌측주차장 출입구외벽","SKT","127.057737","37.522519","WF131011"
"강남구","전통시장","청담삼익시장","서울특별시 강남구 학동로101길 26","청담동 134-20(B1 46호_D)-1층 주차장 출입구외벽","SKT","127.057737","37.522519","WF131012"
"강남구","전통시장","청담삼익시장","서울특별시 강남구 학동로101길 26","청담동 134-20(1F 67호 복도_D)-1층 우측공원 출입구외벽","SKT","127.057737","37.522519","WF131013"
"강남구","전통시장","청담삼익시장","서울특별시 강남구 학동로101길 26","청담동 134-20(1F 56호 복도_D)-지하1층 32호앞 제일식당 기둥벽면","SKT","127.057737","37.522519","WF131014"
"강남구","전통시장","청담삼익시장","서울특별시 강남구 학동로101길 26","청담동 134-20(B1 32호_D)-지하1층 46호앞 해남식당 복도 벽면","SKT","127.057737","37.522519","WF131015"
"강남구","복지센터등","강남구 직업재활센터","서울특별시 강남구 광평로60길 22","건물 리모델링 증축","미래부(SKT)","127.107019","37.4869646","WF131143"
"강남구","복지센터등","강남구 직업재활센터","서울특별시 강남구 광평로60길 22","건물 리모델링 증축","미래부(SKT)","127.107019","37.4869646","WF131144"
"강남구","복지센터등","강남구 직업재활센터","서울특별시 강남구 광평로60길 22","건물 리모델링 증축","미래부(SKT)","127.107019","37.4869646","WF131145"
"강남구","복지센터등","강남구 직업재활센터","서울특별시 강남구 광평로60길 22","건물 리모델링 증축","미래부(SKT)","127.107019","37.4869646","WF131146"
"강남구","복지센터등","강남구 직업재활센터","서울특별시 강남구 광평로60길 22","건물 리모델링 증축","미래부(SKT)","127.107019","37.4869646","WF131147"
"강남구","복지센터등","강남구 직업재활센터","서울특별시 강남구 광평로60길 22","건물 리모델링 증축","미래부(SKT)","127.107019","37.4869646","WF131148"
"강남구","복지센터등","강남구 직업재활센터","서울특별시 강남구 광평로60길 22","건물 리모델링 증축","미래부(SKT)","127.107019","37.4869646","WF131149"
"강남구","공공기관","강남구 보건소","서울특별시 강남구 선릉로 668","5층 화장실 앞","미래부(KT)","127.0422041","37.516286","WF141144"
"강남구","공공기관","강남구 보건소","서울특별시 강남구 선릉로 668","4층 화장실 앞","미래부(KT)","127.0422041","37.516286","WF141145"
"강남구","공공기관","강남구 보건소","서울특별시 강남구 선릉로 668","4층 403호 앞","미래부(KT)","127.0422041","37.516286","WF141146"
"강남구","공공기관","강남구 보건소","서울특별시 강남구 선릉로 668","선릉로 668","미래부(KT)","127.0422041","37.516286","WF141147"
"강남구","공공기관","강남구 보건소","서울특별시 강남구 선릉로 668","선릉로 668","미래부(KT)","127.0422041","37.516286","WF141148"
"강남구","공공기관","강남구 보건소","서울특별시 강남구 선릉로 668","선릉로 668","미래부(KT)","127.0422041","37.516286","WF141149"
"강남구","공공기관","강남구 보건소","서울특별시 강남구 선릉로 668","선릉로 668","미래부(KT)","127.0422041","37.516286","WF141150"
"강남구","공공기관","강남구 보건소","서울특별시 강남구 선릉로 668","선릉로 668","미래부(KT)","127.0422041","37.516286","WF141151"
"강남구","공공기관","강남구 보건소","서울특별시 강남구 선릉로 668","선릉로 668","미래부(KT)","127.0422041","37.516286","WF141152"
"강남구","공공기관","강남구 보건소","서울특별시 강남구 선릉로 668","선릉로 668","미래부(KT)","127.0422041","37.516286","WF141153"
"강남구","복지센터등","강남노인종합복지관","서울특별시 강남구 삼성로 640","6층 데이케어센터","미래부(LGU+)","127.052132","37.515857","WF141154"
"강남구","복지센터등","강남노인종합복지관","서울특별시 강남구 삼성로 640","5층 서예실 앞","미래부(LGU+)","127.052132","37.515857","WF141155"
"강남구","복지센터등","강남노인종합복지관","서울특별시 강남구 삼성로 640","4층 도서관 앞","미래부(LGU+)","127.052132","37.515857","WF141156"
"강남구","복지센터등","강남노인종합복지관","서울특별시 강남구 삼성로 640","삼성동 66","미래부(LGU+)","127.0512132","37.515857","WF141157"
"강남구","복지센터등","강남장애인복지관","서울특별시 강남구 개포로109길 5","지하1층 헬스장 앞 천정매립","미래부(LGU+)","127.0746666","37.4923415","WF141158"
"강남구","복지센터등","강남장애인복지관","서울특별시 강남구 개포로109길 5","지하2층 목욕탕 앞 천정매립","미래부(LGU+)","127.0746666","37.4923415","WF141159"
"강남구","문화관광","강남청소년수련관","서울특별시 강남구 영동대로131길 26","3층 산들방 앞 천장","미래부(KT)","127.0540445","37.520529","WF141160"
"강남구","문화관광","강남청소년수련관","서울특별시 강남구 영동대로131길 26","3층 청담실 앞 복도","미래부(KT)","127.0540445","37.520529","WF141161"
"강남구","문화관광","강남청소년수련관","서울특별시 강남구 영동대로131길 26","2F 체력단련실 앞 벽면","미래부(KT)","127.0540445","37.520529","WF141162"
"강남구","문화관광","강남청소년수련관","서울특별시 강남구 영동대로131길 26","1F 강당 입구 위 천장","미래부(KT)","127.0540445","37.520529","WF141163"
"강남구","문화관광","강남청소년수련관","서울특별시 강남구 영동대로131길 26","B1 방재실 입구 위 천장","미래부(KT)","127.0540445","37.520529","WF141164"
"강남구","복지센터등","대치노인복지센터","서울특별시 강남구 역삼로71길 22","지하1층 중앙복도 천정매립","미래부(LGU+)","127.0543227","37.5032219","WF141166"
"강남구","복지센터등","대치노인복지센터","서울특별시 강남구 역삼로71길 22","1층 안내데스크 앞 천정매립","미래부(LGU+)","127.0543227","37.5032219","WF141167"
"강남구","복지센터등","대치노인복지센터","서울특별시 강남구 역삼로71길 22","2층 안내데스크 앞 천정매립","미래부(LGU+)","127.0543227","37.5032219","WF141168"
"강남구","문화관광","대치평생학습관","서울특별시 강남구 영동대로57길 7","5F 엘리베이터 앞 점검구 안","미래부(KT)","127.0669398","37.5000135","WF141169"
"강남구","문화관광","대치평생학습관","서울특별시 강남구 영동대로57길 7","4F 센터사무실 앞 점검구 안","미래부(KT)","127.0669398","37.5000135","WF141170"
"강남구","문화관광","대치평생학습관","서울특별시 강남구 영동대로57길 7","3F 어린이집 복도 앞 점검구 안","미래부(KT)","127.0669398","37.5000135","WF141171"
"강남구","문화관광","대치평생학습관","서울특별시 강남구 영동대로57길 7","2F 문화교실 앞 전검구 안","미래부(KT)","127.0669398","37.5000135","WF141172"
"강남구","문화관광","대치평생학습관","서울특별시 강남구 영동대로57길 7","1F 관리사무실 앞 점검구 안","미래부(KT)","127.0669398","37.5000135","WF141173"
"강남구","복지센터등","성모자애복지관","서울특별시 강남구 헌릉로757길 35","1층 인포데스크 앞 천장","미래부(LGU+)","127.1192729","37.4705811","WF141174"
"강남구","복지센터등","성모자애복지관","서울특별시 강남구 헌릉로757길 35","2층 휴게실 천장","미래부(LGU+)","127.1192729","37.4705811","WF141175"
"강남구","복지센터등","성모자애복지관","서울특별시 강남구 헌릉로757길 35","3층 휴게실 앞 천장","미래부(LGU+)","127.1192729","37.4705811","WF141176"
"강남구","복지센터등","성모자애복지관","서울특별시 강남구 헌릉로757길 35","4층 엘리베이터 앞 천장","미래부(LGU+)","127.1192729","37.4705811","WF141177"
"강남구","복지센터등","성모자애복지관","서울특별시 강남구 헌릉로757길 35","B1층 엘리베이터 앞 천장","미래부(LGU+)","127.1192729","37.4705811","WF141178"
"강남구","복지센터등","성모자애복지관","서울특별시 강남구 헌릉로757길 35","B2층 엘리베이터 앞 천장","미래부(LGU+)","127.1192729","37.4705811","WF141179"
"강남구","문화관광","압구정평생학습관","서울특별시 강남구 언주로172길 26","6F 체육센터 남자화장실 입구 상단","미래부(KT)","127.0357833","37.527293","WF141180"
"강남구","문화관광","압구정평생학습관","서울특별시 강남구 언주로172길 26","5F 사무실 앞 대기실 벽면","미래부(KT)","127.0357833","37.527293","WF141181"
"강남구","문화관광","압구정평생학습관","서울특별시 강남구 언주로172길 26","4F 어학교실 앞 대기실 벽면","미래부(KT)","127.0357833","37.527293","WF141182"
"강남구","문화관광","압구정평생학습관","서울특별시 강남구 언주로172길 26","3층 탁구장내 천정매립","미래부(KT)","127.0357833","37.527293","WF141183"
"강남구","문화관광","압구정평생학습관","서울특별시 강남구 언주로172길 26","2F 대기실 남자화장실 입구 상단","미래부(KT)","127.0357833","37.527293","WF141184"
"강남구","문화관광","역삼청소년수련관","서울특별시 강남구 논현로64길 7","5F 남자화장실 앞 천장","미래부(KT)","127.0410313","37.4939379","WF141185"
"강남구","문화관광","역삼청소년수련관","서울특별시 강남구 논현로64길 7","4F 남자화장실 앞 천장","미래부(KT)","127.0410313","37.4939379","WF141186"
"강남구","문화관광","역삼청소년수련관","서울특별시 강남구 논현로64길 7","3F 사무실 입구 위 천장","미래부(KT)","127.0410313","37.4939379","WF141187"
"강남구","문화관광","역삼청소년수련관","서울특별시 강남구 논현로64길 7","2F 어린이집 앞 천장","미래부(KT)","127.0410313","37.4939379","WF141188"
"강남구","문화관광","역삼청소년수련관","서울특별시 강남구 논현로64길 7","1F 엘리베이터 앞 천장","미래부(KT)","127.0410313","37.4939379","WF141189"
"강남구","문화관광","청담평생학습관","서울특별시 강남구 학동로67길 11","4F 대기실 점검구 안","미래부(KT)","127.0464205","37.519128","WF141192"
"강남구","문화관광","청담평생학습관","서울특별시 강남구 학동로67길 11","3F 도서관 앞 대기실 점검구 안","미래부(KT)","127.0464205","37.519128","WF141193"
"강남구","문화관광","청담평생학습관","서울특별시 강남구 학동로67길 11","2F 생활체육교실 앞 대기실 점검구 안","미래부(KT)","127.0464205","37.519128","WF141194"
"강남구","문화관광","청담평생학습관","서울특별시 강남구 학동로67길 11","1F 안내데스크 앞 점검구 안","미래부(KT)","127.0464205","37.519128","WF141195"
"강남구","문화관광","청담평생학습관","서울특별시 강남구 학동로67길 11","B1 식당 앞 점검구 안","미래부(KT)","127.0464205","37.519128","WF141196"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","5층 휴게실 복도","미래부(SKT)","127.0934479","37.4847268","WF141197"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","5층 직원식당 앞 복도","미래부(SKT)","127.0934479","37.4847268","WF141198"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","4층 미술실복도","미래부(SKT)","127.0934479","37.4847268","WF141199"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","4층 휴게실 복도","미래부(SKT)","127.0934479","37.4847268","WF141200"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","3층 초목교실복도","미래부(SKT)","127.0934479","37.4847268","WF141201"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","3층 휴게실앞 복도","미래부(SKT)","127.0934479","37.4847268","WF141202"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","2층 헬스장","미래부(SKT)","127.0934479","37.4847268","WF141203"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","2층 어린이체육관 복도","미래부(SKT)","127.0934479","37.4847268","WF141204"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","1층 어린이집 복도","미래부(SKT)","127.0934479","37.4847268","WF141205"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","1층 로비","미래부(SKT)","127.0934479","37.4847268","WF141206"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","지하1층 소체육실 앞","미래부(SKT)","127.0934479","37.4847268","WF141207"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","지하1층 에어로빅실 앞","미래부(SKT)","127.0934479","37.4847268","WF141208"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","지하1층 카페앞","미래부(SKT)","127.0934479","37.4847268","WF141209"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","지하1층 태화극장 천정","미래부(SKT)","127.0934479","37.4847268","WF141210"
"강남구","복지센터등","하상장애인복지관","서울특별시 강남구 개포로 613","1층 엘리베이터 옆 쉼터 천정","미래부(LGU+)","127.07517","37.4925619","WF141211"
"강남구","복지센터등","하상장애인복지관","서울특별시 강남구 개포로 613","1층 인포데스크 앞 천정","미래부(LGU+)","127.07517","37.4925619","WF141212"
"강남구","복지센터등","하상장애인복지관","서울특별시 강남구 개포로 613","2층 엘리베이터 옆 코너 천정","미래부(LGU+)","127.07517","37.4925619","WF141213"
"강남구","복지센터등","하상장애인복지관","서울특별시 강남구 개포로 613","B1층 구내식당 옆 천정","미래부(LGU+)","127.07517","37.4925619","WF141214"
"강남구","버스승차대","강남역사거리","서울특별시 강남구 테헤란로 110","강남역.역삼세무서 23-287정류장/AP망실","KT","127.029331","37.498251","WF141215"
"강남구","버스승차대","강남역사거리","서울특별시 서초구 서초대로 411","강남역.강남역사거리 22-167정류장","KT","127.026214","37.497742","WF141216"
"강남구","버스승차대","강남역사거리","서울특별시 서초구 서초대로 411","강남역 23-617정류장","KT","127.026214","37.497742","WF141217"
"강남구","버스승차대","선릉역","서울특별시 강남구 테헤란로 410","선릉역 23-259정류장","KT","127.050539","37.504728","WF141218"
"강남구","버스승차대","신사사거리","서울특별시 강남구 도산대로 125","신사사거리가로수길 23-108정류장","KT","127.022059","37.517435","WF141219"
"강남구","버스승차대","코엑스동문.한국무역센타","서울특별시 강남구 영동대로 513","무역센타 23-198정류장","KT","127.061086","37.511989","WF141220"
"강남구","공원","논현개나리공원","서울특별시 강남구 논현로123길 19","논현동 150-5(CCTV_논현1-255 A6링)","서울시(SKT)","127.022462","37.5113394","WF151001"
"강남구","공원","논현까치공원","서울특별시 강남구 학동로4길 43-12","CCTV_논현1-230 A6링","서울시(SKT)","127.025118","37.5085141","WF151002"
"강남구","주요거리","논현동맛의거리-1","서울특별시 강남구 강남대로122길 5","CCTV_논현1-208 A6링","서울시(SKT)","127.0237475","37.5076678","WF151003"
"강남구","주요거리","논현동맛의거리-2","서울특별시 강남구 강남대로122길 5","CCTV_논현1-208 A6링","서울시(SKT)","127.0237475","37.5076678","WF151004"
"강남구","공원","논현은행나무공원","서울특별시 강남구 학동로5길 15","논현동 47-13(CCTV_논현1-205 A5링)","서울시(SKT)","127.022421","37.5126222","WF151005"
"강남구","주요거리","대치동 산등성길#1","서울특별시 강남구 선릉로86길 38","대치동 896-27(CCTV_대치4-244 B3링)","서울시(SKT)","127.0527912","37.5038166","WF151006"
"강남구","주요거리","대치동 산등성길#2","서울특별시 강남구 삼성로85길 33","대치동 894(CCTV_대치4-201 B3링)","서울시(SKT)","127.0547593","37.5043924","WF151007"
"강남구","주요거리","대치동 산등성길#3","서울특별시 강남구 테헤란로64길 19","대치동 890-57(CCTV_대치4-232 B3링)","서울시(SKT)","127.0517226","37.5037458","WF151008"
"강남구","공원","도곡목련공원","서울특별시 강남구 논현로36길 31","도곡동 415-3(CCTV_도곡2-203 C3링)","서울시(SKT)","127.0443385","37.4849477","WF151009"
"강남구","공원","독골근린공원","서울특별시 강남구 남부순환로378길 29","도곡2동 461(CCTV도곡2-217 C3링)","서울시(SKT)","127.046824","37.4845582","WF151010"
"강남구","공원","일원동늘푸른공원","강남구영동대로4길20","일원2동 690(CCTV_일원2-211 C7링)","서울시(SKT)","127.0774436","37.4899302","WF151011"
"강남구","주요거리","일원동 맛의거리","서울특별시 강남구 양재대로29길 6","일원동 686-8(CCTV_일원1-236 C6링)","서울시(삼성)","127.0824159","37.4897097","WF151012"
"강남구","주요거리","일원동 맛의거리","서울특별시 강남구 일원로9길 45","일원동 665-7(CCTV_일원1-210 C6링)","서울시(SKT)","127.0851065","37.4905227","WF151013"
"강남구","공원","일원목련공원","서울특별시 강남구 양재대로47길 20","일원1동 658(CCTV일원1-208 C6링)","서울시(SKT)","127.085556","37.4914386","WF151014"
"강남구","공공기관","(재)서울산업통상진흥원","서울특별시 강남구 남부순환로 3104","대치2동 514","미래부(LGU+)","127.0717546","37.4955815","WF151082"
"강남구","공공기관","(재)서울산업통상진흥원서울신기술창업센타","서울특별시 강남구 논현로 419","역삼1동 746번지","미래부(LGU+)","127.0380541","37.4976121","WF151083"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","3층 청소년사업팀 앞","미래부(KT)","127.0901293","37.483816","WF151084"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","3층 엘리베이터앞","미래부(KT)","127.0901293","37.483816","WF151085"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","2층 엘리베이터앞","미래부(KT)","127.0901293","37.483816","WF151086"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","2층 프로그램실1 앞","미래부(KT)","127.0901293","37.483816","WF151087"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","2층 프로그램실7 앞","미래부(KT)","127.0901293","37.483816","WF151088"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","1층 엘리베이터앞","미래부(KT)","127.0901293","37.483816","WF151089"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","1층 꿈나래 앞","미래부(KT)","127.0901293","37.483816","WF151090"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","1층 청소년극장 앞","미래부(KT)","127.0901293","37.483816","WF151091"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","1층 대체육관 내 입구 위 벽면","미래부(KT)","127.0901293","37.483816","WF151092"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","지하1층 엘리베이터앞","미래부(KT)","127.0901293","37.483816","WF151093"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","지하1층 소체육관 입구 천정","미래부(KT)","127.0901293","37.483816","WF151094"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","지하1층 수영장 안내데스크 앞","미래부(KT)","127.0901293","37.483816","WF151095"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","광평로 144","미래부(KT)","127.0901293","37.483816","WF151096"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","광평로 144","미래부(KT)","127.0901293","37.483816","WF151097"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","광평로 144","미래부(KT)","127.0901293","37.483816","WF151098"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","광평로 144","미래부(KT)","127.0901293","37.483816","WF151099"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","광평로 144","미래부(KT)","127.0901293","37.483816","WF151100"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","광평로 144","미래부(KT)","127.0901293","37.483816","WF151101"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","광평로 144","미래부(KT)","127.0901293","37.483816","WF151102"
"강남구","복지센터등","강남구 청소년상담복지센터","서울특별시 강남구 광평로31길 27","광평로 144","미래부(KT)","127.0901293","37.483816","WF151103"
"강남구","문화관광","강남도서관","서울특별시 강남구 선릉로116길 45","삼성동 28","미래부(KT)","127.0469916","37.5137356","WF151104"
"강남구","문화관광","강남스포츠문화센터","서울특별시 강남구 밤고개로1길 52","4층 대체육관 앞쪽 벽면","미래부(SKT)","127.10525","37.4891013","WF151105"
"강남구","문화관광","강남스포츠문화센터","서울특별시 강남구 밤고개로1길 52","4층 복도 천정","미래부(SKT)","127.10525","37.4891013","WF151106"
"강남구","문화관광","강남스포츠문화센터","서울특별시 강남구 밤고개로1길 52","3층 골프장 앞","미래부(SKT)","127.10525","37.4891013","WF151107"
"강남구","문화관광","강남스포츠문화센터","서울특별시 강남구 밤고개로1길 52","3층 헬스장 앞","미래부(SKT)","127.10525","37.4891013","WF151108"
"강남구","문화관광","강남스포츠문화센터","서울특별시 강남구 밤고개로1길 52","2층 독서실 앞 복도","미래부(SKT)","127.10525","37.4891013","WF151109"
"강남구","문화관광","강남스포츠문화센터","서울특별시 강남구 밤고개로1길 52","2층 독서실 천정","미래부(SKT)","127.10525","37.4891013","WF151110"
"강남구","문화관광","강남스포츠문화센터","서울특별시 강남구 밤고개로1길 52","2층 문화취미교실1 앞 복도","미래부(SKT)","127.10525","37.4891013","WF151111"
"강남구","문화관광","강남스포츠문화센터","서울특별시 강남구 밤고개로1길 52","1층 안내데스크 옆 천정","미래부(SKT)","127.10525","37.4891013","WF151112"
"강남구","문화관광","강남스포츠문화센터","서울특별시 강남구 밤고개로1길 52","1층 화장실앞","미래부(SKT)","127.10525","37.4891013","WF151113"
"강남구","문화관광","강남스포츠문화센터","서울특별시 강남구 밤고개로1길 52","지하1층 식당앞","미래부(SKT)","127.10525","37.4891013","WF151114"
"강남구","문화관광","강남스포츠문화센터","서울특별시 강남구 밤고개로1길 52","지하2층 복도","미래부(SKT)","127.10525","37.4891013","WF151115"
"강남구","공공기관","과학기술회관","서울특별시 강남구 테헤란로7길 22","역삼1동 635-3번지","미래부(LGU+)","127.0307472","37.5007248","WF151116"
"강남구","문화관광","국기원(역삼동) 1F","서울특별시 강남구 테헤란로7길 32","역삼동 635","미래부(SKT)","127.0300534","37.5022354","WF151117"
"강남구","공공기관","기술신용보증기금","서울특별시 강남구 테헤란로 328","동우빌딩 5층 고객대기실 천정","미래부(LGU+)","127.0476601","37.5037628","WF151119"
"강남구","문화관광","논현도서관","서울특별시 강남구 학동로43길 17","학동로43길 17_논현문화센터 6층","미래부(SKT)","127.0372","37.5173333","WF151120"
"강남구","문화관광","논현도서관","서울특별시 강남구 학동로43길 17","학동로43길 17_논현문화센터 6층","미래부(SKT)","127.0372","37.5173333","WF151121"
"강남구","복지센터등","압구정노인복지센터","서울특별시 강남구 도산대로53길 5","4층 복도","미래부(SKT)","127.0382173","37.5235584","WF151122"
"강남구","복지센터등","압구정노인복지센터","서울특별시 강남구 도산대로53길 5","3층 복도","미래부(SKT)","127.0382173","37.5235584","WF151123"
"강남구","복지센터등","압구정노인복지센터","서울특별시 강남구 도산대로53길 5","2층 복도","미래부(SKT)","127.0382173","37.5235584","WF151124"
"강남구","복지센터등","압구정노인복지센터","서울특별시 강남구 도산대로53길 5","1층 복도","미래부(SKT)","127.0382173","37.5235584","WF151125"
"강남구","복지센터등","압구정노인복지센터","서울특별시 강남구 도산대로53길 5","지하1층 복도","미래부(SKT)","127.0382173","37.5235584","WF151126"
"강남구","복지센터등","압구정노인복지센터","서울특별시 강남구 도산대로53길 5","지하1층 소리사랑방","미래부(SKT)","127.0382173","37.5235584","WF151127"
"강남구","문화관광","일원청소년독서실","서울특별시 강남구 개포로116길 21","3층 꿈꾸는 교실","미래부(SKT)","127.0820634","37.4927971","WF151128"
"강남구","문화관광","일원청소년독서실","서울특별시 강남구 개포로116길 21","3층 칭찬하는 교실","미래부(SKT)","127.0820634","37.4927971","WF151129"
"강남구","문화관광","일원청소년독서실","서울특별시 강남구 개포로116길 21","2층 꿈꾸는 교실","미래부(SKT)","127.0820634","37.4927971","WF151130"
